Month,Calls Answered,Svc Level (% answered w/i 60 sec),Avg Speed Answer (sec),Transferred Calls %
11-01-2023 00:00,74029,68.80%,52,10.30%
12-01-2023 00:00,76264,72%,48,10.40%
04-01-2015 00:00,250749,55%,48,
01-01-2024 00:00,88607,72.20%,38,8.40%
02-01-2024 00:00,73473,69.20%,59,9.90%
06-01-2014 00:00,141639,86.10%,,
03-01-2024 00:00,79410,74.10%,37,11.90%
04-01-2024 00:00,73427,72.70%,55,8%
05-01-2024 00:00,76847,60.10%,108,8.10%
06-01-2024 00:00,75870,70.80%,59,8.10%
07-01-2024 00:00,76892,73.80%,54,8.20%
08-01-2024 00:00,75949,60.60%,88,7.80%
09-01-2024 00:00,68468,51.50%,127,7.80%
10-01-2024 00:00,72996,57.60%,102,9.80%
04-01-2014 00:00,91892,68.80%,,
07-01-2014 00:00,160996,91.80%,12,
07-01-2015 00:00,293598,66.90%,34,1.40%
11-01-2024 00:00,72053,77.90%,46,9.10%
